Owner,Name,Stars,URL,Created Date,Branch Count,Forks Count,Languages,Languages Proportions
giuliaulpiani,SWAQ,1.0,https://github.com/giuliaulpiani/SWAQ,2021-09-09,3.0,0.0,['Jupyter Notebook'],{'Jupyter Notebook': 1.0}
FelizardoCaculo,FelizardoCaculo,1.0,https://github.com/FelizardoCaculo/FelizardoCaculo,2022-09-05,1.0,0.0,[],{}
jettbrains,-L-,34.0,https://github.com/jettbrains/-L-,2019-10-28,1.0,38.0,[],{}
jitenderthakur,Delinquency-Telecom-Model,0.0,https://github.com/jitenderthakur/Delinquency-Telecom-Model,2021-01-13,1.0,0.0,['Jupyter Notebook'],{'Jupyter Notebook': 1.0}
Masudbro94,python-hacked-mobile-phone-,36.0,https://github.com/Masudbro94/python-hacked-mobile-phone-,2022-06-30,1.0,8.0,[],{}
JECSCA,Kids-Can-Code,0.0,https://github.com/JECSCA/Kids-Can-Code,2020-12-12,1.0,0.0,[],{}
TanmayiNandan,Android-Bluetooth-Chat,1.0,https://github.com/TanmayiNandan/Android-Bluetooth-Chat,2019-07-17,1.0,0.0,['Java'],{'Java': 1.0}
leuz9,Tekki,2.0,https://github.com/leuz9/Tekki,2020-01-31,30.0,0.0,"['TypeScript', 'HTML', 'CSS', 'JavaScript']","{'TypeScript': 0.5855321196567488, 'HTML': 0.19945464752586414, 'CSS': 0.15662843852754832, 'JavaScript': 0.0583847942898388}"
Aayushi-2808,Cervical_cancer_detection_using_ML,6.0,https://github.com/Aayushi-2808/Cervical_cancer_detection_using_ML,2022-06-18,1.0,0.0,['Jupyter Notebook'],{'Jupyter Notebook': 1.0}
Saundaryasri26,Architect-,0.0,https://github.com/Saundaryasri26/Architect-,2022-09-22,0.0,0.0,[],{}
PamyAnnPatrick,FireTruck,1.0,https://github.com/PamyAnnPatrick/FireTruck,2019-08-09,1.0,0.0,[],{}
vikas044,-What-is-a-PayPal-developer-portal-,0.0,https://github.com/vikas044/-What-is-a-PayPal-developer-portal-,2021-12-23,0.0,0.0,[],{}
rajnilprasad,Employee-Tracker-,0.0,https://github.com/rajnilprasad/Employee-Tracker-,2020-06-28,2.0,0.0,"['JavaScript', 'TSQL']","{'JavaScript': 0.9494016841483233, 'TSQL': 0.05059831585167676}"
StevenSJones,EmployeeTrackerTenthEdition,1.0,https://github.com/StevenSJones/EmployeeTrackerTenthEdition,2020-09-07,1.0,0.0,['JavaScript'],{'JavaScript': 1.0}
ananthastaputra,ananthastaputra,0.0,https://github.com/ananthastaputra/ananthastaputra,2022-05-01,1.0,0.0,[],{}
ManojKumarPatnaik,Major-project-list,51.0,https://github.com/ManojKumarPatnaik/Major-project-list,2021-09-04,2.0,9.0,[],{}
SenjuSama2012,SenjuSama2012,1.0,https://github.com/SenjuSama2012/SenjuSama2012,2022-05-01,1.0,1.0,[],{}
