Owner,Name,Stars,URL,Created Date,Branch Count,Forks Count,Languages,Languages Proportions
tensorflow,models,76160,https://github.com/tensorflow/models,2016-02-05,30,46196,"['Jupyter Notebook', 'Python', 'C++', 'Shell', 'Starlark', 'Dockerfile']","{'Jupyter Notebook': 0.5241330393091864, 'Python': 0.46146671890281404, 'C++': 0.010659192360017793, 'Shell': 0.0018154154434792192, 'Starlark': 0.0017200858250164689, 'Dockerfile': 0.00020554815948608707}"
MisterBooo,LeetCodeAnimation,74193,https://github.com/MisterBooo/LeetCodeAnimation,2018-12-06,1,14000,"['Java', 'Python', 'C++']","{'Java': 0.9950318538594206, 'Python': 0.0041955580584984685, 'C++': 0.0007725880820808841}"
fatedier,frp,73404,https://github.com/fatedier/frp,2015-12-21,4,12122,"['Go', 'Vue', 'TypeScript', 'Shell', 'Makefile', 'JavaScript', 'HTML', 'CSS']","{'Go': 0.9465845540788371, 'Vue': 0.028923177938279712, 'TypeScript': 0.014857246360404827, 'Shell': 0.004664115742522698, 'Makefile': 0.0018554576946589083, 'JavaScript': 0.001336971041727987, 'HTML': 0.0011864061403310164, 'CSS': 0.0005920710032377114}"
mtdvio,every-programmer-should-know,73285,https://github.com/mtdvio/every-programmer-should-know,2017-08-24,2,7017,[],{}
tonsky,FiraCode,73038,https://github.com/tonsky/FiraCode,2014-11-11,2,3050,"['Clojure', 'Shell', 'Python', 'HTML', 'CSS', 'PureBasic', 'Dockerfile', 'Makefile']","{'Clojure': 0.45952182794885377, 'Shell': 0.22287584171899827, 'Python': 0.19461678141787092, 'HTML': 0.077608383142922, 'CSS': 0.025837935991526065, 'PureBasic': 0.01127336006658092, 'Dockerfile': 0.005939320571990618, 'Makefile': 0.0023265491412574712}"
FortAwesome,Font-Awesome,72398,https://github.com/FortAwesome/Font-Awesome,2012-02-17,6,12441,"['JavaScript', 'SCSS', 'CSS', 'Less']","{'JavaScript': 0.7826072191289132, 'SCSS': 0.074100200572733, 'CSS': 0.0721436259248524, 'Less': 0.0711489543735014}"
opencv,opencv,72070,https://github.com/opencv/opencv,2012-07-19,6,55689,"['C++', 'C', 'Python', 'CMake', 'Java', 'Objective-C++', 'Cuda', 'Swift', 'JavaScript', 'Objective-C', 'HTML', 'Shell', 'Perl', 'PowerShell', 'Kotlin', 'TeX', 'AIDL', 'Batchfile', 'Prolog', 'Dockerfile']","{'C++': 0.8698262251364388, 'C': 0.03307692602711006, 'Python': 0.02692274584653829, 'CMake': 0.022010502600081732, 'Java': 0.01658606264145122, 'Objective-C++': 0.008512321996780953, 'Cuda': 0.007115164252807292, 'Swift': 0.006429678474527807, 'JavaScript': 0.0050837425324621365, 'Objective-C': 0.0021297104775005464, 'HTML': 0.0008543430079470497, 'Shell': 0.0004843911999069314, 'Perl': 0.0003380340629244069, 'PowerShell': 0.000310889064741886, 'Kotlin': 0.00011088113857287197, 'TeX': 0.00010960272421576736, 'AIDL': 4.231551522016213e-05, 'Batchfile': 3.191774511571141e-05, 'Prolog': 1.7961721717319574e-05, 'Dockerfile': 6.58383393908867e-06}"
Hack-with-Github,Awesome-Hacking,70723,https://github.com/Hack-with-Github/Awesome-Hacking,2016-03-30,1,8707,[],{}
vuejs,awesome-vue,69786,https://github.com/vuejs/awesome-vue,2015-10-20,8,9459,[],{}
gohugoio,hugo,69645,https://github.com/gohugoio/hugo,2013-07-04,30,7408,"['Go', 'HTML', 'Shell', 'Dockerfile', 'CSS', 'JavaScript']","{'Go': 0.9910888743768383, 'HTML': 0.008006913240648677, 'Shell': 0.0005952298466303365, 'Dockerfile': 0.0002368793933115999, 'CSS': 6.149337084140254e-05, 'JavaScript': 1.0609771729678606e-05}"
