Owner,Name,Stars,URL,Created Date,Branch Count,Forks Count,Languages,Languages Proportions
rust-lang,rustlings,43285,https://github.com/rust-lang/rustlings,2015-09-15,30,7982,"['Rust', 'Shell', 'PowerShell', 'Nix']","{'Rust': 0.9356029532403609, 'Shell': 0.029740550732800314, 'PowerShell': 0.018641411482374835, 'Nix': 0.0160150845444639}"
learn-co-curriculum,phase-0-html-album-cover-lab,2,https://github.com/learn-co-curriculum/phase-0-html-album-cover-lab,2021-01-11,2,8081,"['JavaScript', 'CSS', 'HTML']","{'JavaScript': 0.5250183572852197, 'CSS': 0.36410363998741213, 'HTML': 0.11087800272736809}"
Anduin2017,HowToCook,56660,https://github.com/Anduin2017/HowToCook,2020-02-29,2,7964,['Shell'],{'Shell': 1.0}
adobe,brackets,33363,https://github.com/adobe/brackets,2011-12-07,30,7960,"['JavaScript', 'HTML', 'Less', 'CSS', 'PHP', 'Shell', 'Ruby', 'SCSS', 'Batchfile', 'Hack', 'Makefile', 'Handlebars', 'Clojure']","{'JavaScript': 0.8395489296669975, 'HTML': 0.13080535599952406, 'Less': 0.01382218346526733, 'CSS': 0.011892645205020485, 'PHP': 0.0017112612630012384, 'Shell': 0.0007941432615193358, 'Ruby': 0.0005724467812881585, 'SCSS': 0.0003211781056076925, 'Batchfile': 0.00016888446523180518, 'Hack': 0.00016755466629297206, 'Makefile': 0.00013842573715662772, 'Handlebars': 5.521831784107015e-05, 'Clojure': 1.773065251777482e-06}"
Light-City,CPlusPlusThings,33986,https://github.com/Light-City/CPlusPlusThings,2019-07-14,3,7942,"['C++', 'Starlark', 'C']","{'C++': 0.875652763324964, 'Starlark': 0.11575987856454123, 'C': 0.008587358110494811}"
learn-co-curriculum,phase-0-html-link-tag-with-href,3,https://github.com/learn-co-curriculum/phase-0-html-link-tag-with-href,2021-01-11,2,8242,"['JavaScript', 'HTML']","{'JavaScript': 0.9565714285714285, 'HTML': 0.04342857142857143}"
yunjey,pytorch-tutorial,28003,https://github.com/yunjey/pytorch-tutorial,2017-03-10,1,7909,"['Python', 'Shell']","{'Python': 0.9938081776184238, 'Shell': 0.006191822381576226}"
qiubaiying,qiubaiying.github.io,2958,https://github.com/qiubaiying/qiubaiying.github.io,2017-02-10,1,7908,"['HTML', 'CSS', 'Less', 'JavaScript']","{'HTML': 0.4288063755973031, 'CSS': 0.23589382732211822, 'Less': 0.18659586306211953, 'JavaScript': 0.14870393401845913}"
elastic,kibana,18868,https://github.com/elastic/kibana,2013-01-26,30,7900,"['TypeScript', 'JavaScript', 'MDX', 'SCSS', 'Shell', 'CSS', 'Groovy', 'ANTLR', 'Starlark', 'HTML', 'EJS', 'Dockerfile', 'Perl', 'Handlebars', 'Python', 'Batchfile', 'Mustache', 'Standard ML', 'Makefile']","{'TypeScript': 0.9411681005346997, 'JavaScript': 0.04244760777966408, 'MDX': 0.010229004365711752, 'SCSS': 0.0018055414055123088, 'Shell': 0.0017977287555626697, 'CSS': 0.0013245624961680136, 'Groovy': 0.0004824792539966578, 'ANTLR': 0.00016264920514232666, 'Starlark': 0.00012248537362611554, 'HTML': 9.424039847653622e-05, 'EJS': 7.620171523842468e-05, 'Dockerfile': 6.855686699332624e-05, 'Perl': 6.0531997240885925e-05, 'Handlebars': 5.196917496506554e-05, 'Python': 3.6950922408684296e-05, 'Batchfile': 2.5234415156351384e-05, 'Mustache': 2.425721699461511e-05, 'Standard ML': 1.4968899113869304e-05, 'Makefile': 6.929223328675405e-06}"
linuxacademy,cicd-pipeline-train-schedule-git,76,https://github.com/linuxacademy/cicd-pipeline-train-schedule-git,2018-04-09,6,7907,"['JavaScript', 'CSS', 'HTML']","{'JavaScript': 0.7337547780064687, 'CSS': 0.13937077330197, 'HTML': 0.1268744486915613}"
commaai,openpilot,43763,https://github.com/commaai/openpilot,2016-11-24,30,7883,"['Python', 'C++', 'C', 'Shell', 'Cython', 'HTML', 'Kaitai Struct', 'JavaScript', 'CSS', 'Dockerfile', 'QML', 'Batchfile']","{'Python': 0.6043139278839932, 'C++': 0.3420688084565683, 'C': 0.027801864903998507, 'Shell': 0.009621802115568616, 'Cython': 0.004530304435235294, 'HTML': 0.004270723901075107, 'Kaitai Struct': 0.003178651526252024, 'JavaScript': 0.0026546503890905867, 'CSS': 0.0007140375242895034, 'Dockerfile': 0.0004903753957393129, 'QML': 0.0002883662067412479, 'Batchfile': 6.648726144829126e-05}"
learn-co-curriculum,phase-0-css-fundamentals-lab,3,https://github.com/learn-co-curriculum/phase-0-css-fundamentals-lab,2021-01-11,2,7886,"['HTML', 'JavaScript', 'CSS']","{'HTML': 0.7015209125475285, 'JavaScript': 0.28408473655621946, 'CSS': 0.014394350896252036}"
learn-co-curriculum,phase-0-html-lists-lab,4,https://github.com/learn-co-curriculum/phase-0-html-lists-lab,2021-01-11,2,8175,"['JavaScript', 'HTML']","{'JavaScript': 0.9558303886925795, 'HTML': 0.044169611307420496}"
SeleniumHQ,selenium,28110,https://github.com/SeleniumHQ/selenium,2013-01-14,30,7874,"['Java', 'C#', 'C++', 'JavaScript', 'Ruby', 'Python', 'HTML', 'Starlark', 'Rust', 'TypeScript', 'C', 'Shell', 'Makefile', 'Dockerfile', 'Ragel', 'Batchfile', 'XSLT', 'ASP.NET', 'PowerShell', 'CSS']","{'Java': 0.34564804770577723, 'C#': 0.1538895960810179, 'C++': 0.13978944219850867, 'JavaScript': 0.10968038771452095, 'Ruby': 0.06676685199200505, 'Python': 0.060715593989662475, 'HTML': 0.058019656492793524, 'Starlark': 0.034552512742287975, 'Rust': 0.01434605554188417, 'TypeScript': 0.008040403872550972, 'C': 0.005068934330022143, 'Shell': 0.002455900821171027, 'Makefile': 0.0002843906147553703, 'Dockerfile': 0.00020631301955507746, 'Ragel': 0.00018853478778411875, 'Batchfile': 0.00014980145808381697, 'XSLT': 6.396497822746997e-05, 'ASP.NET': 5.040220347436746e-05, 'PowerShell': 4.655330793632485e-05, 'CSS': 3.665614798135815e-05}"
akveo,ngx-admin,24773,https://github.com/akveo/ngx-admin,2016-05-25,30,7873,"['TypeScript', 'HTML', 'SCSS', 'JavaScript']","{'TypeScript': 0.6715927028863282, 'HTML': 0.22212119265962013, 'SCSS': 0.10280114790615293, 'JavaScript': 0.0034849565478987164}"
trimstray,the-book-of-secret-knowledge,111733,https://github.com/trimstray/the-book-of-secret-knowledge,2018-06-23,1,7857,[],{}
jobbole,awesome-python-cn,27189,https://github.com/jobbole/awesome-python-cn,2015-11-03,2,7843,['Makefile'],{'Makefile': 1.0}
XX-net,XX-Net,32263,https://github.com/XX-net/XX-Net,2015-01-15,3,7832,"['Python', 'HTML', 'CSS', 'JavaScript', 'Shell', 'VBScript', 'Batchfile', 'C']","{'Python': 0.9074145825728958, 'HTML': 0.062237777181539514, 'CSS': 0.0206372069801321, 'JavaScript': 0.004855864196398294, 'Shell': 0.0021863908448310062, 'VBScript': 0.001399816825819832, 'Batchfile': 0.0008858671169104995, 'C': 0.00038249428147305194}"
learn-co-curriculum,phase-0-html-tables-lab,4,https://github.com/learn-co-curriculum/phase-0-html-tables-lab,2021-01-11,2,8124,"['JavaScript', 'HTML']","{'JavaScript': 0.9132624510352546, 'HTML': 0.08673754896474538}"
alibaba,Sentinel,21522,https://github.com/alibaba/Sentinel,2018-04-04,30,7822,"['Java', 'JavaScript', 'HTML', 'CSS', 'Dockerfile', 'Shell', 'Starlark']","{'Java': 0.9095741032262933, 'JavaScript': 0.04692349771755272, 'HTML': 0.03326654045470603, 'CSS': 0.009899536308231557, 'Dockerfile': 0.0001845592698912451, 'Shell': 0.00012711224976249516, 'Starlark': 2.4650773562709853e-05}"
learn-co-curriculum,phase-0-intro-to-js-2-objects-lab,7,https://github.com/learn-co-curriculum/phase-0-intro-to-js-2-objects-lab,2021-01-05,3,8317,"['JavaScript', 'HTML']","{'JavaScript': 0.8671875, 'HTML': 0.1328125}"
nothings,stb,23591,https://github.com/nothings/stb,2014-05-25,2,7806,"['C', 'C++', 'Shell', 'Makefile', 'Batchfile']","{'C': 0.9680721483000866, 'C++': 0.03149062383861349, 'Shell': 0.00026732681737087283, 'Makefile': 0.00016562381485110965, 'Batchfile': 4.2772290779339654e-06}"
learn-co-curriculum,phase-0-html-images-lab,3,https://github.com/learn-co-curriculum/phase-0-html-images-lab,2021-01-11,2,8099,"['JavaScript', 'HTML']","{'JavaScript': 0.8890105878057686, 'HTML': 0.11098941219423147}"
CamDavidsonPilon,Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,25957,https://github.com/CamDavidsonPilon/Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,2013-01-14,3,7801,"['Jupyter Notebook', 'Python', 'HTML', 'CSS', 'Shell']","{'Jupyter Notebook': 0.9984076479389995, 'Python': 0.001422303059151826, 'HTML': 8.816132717203425e-05, 'CSS': 7.538288761563827e-05, 'Shell': 6.50478706100777e-06}"
DopplerHQ,awesome-interview-questions,58831,https://github.com/DopplerHQ/awesome-interview-questions,2015-11-28,4,7799,[],{}
wuyouzhuguli,SpringAll,26288,https://github.com/wuyouzhuguli/SpringAll,2018-05-02,9,7793,"['Java', 'HTML', 'CSS', 'PLpgSQL', 'JavaScript']","{'Java': 0.9265502197394667, 'HTML': 0.03603924385474895, 'CSS': 0.03505482090032194, 'PLpgSQL': 0.0014944994289361208, 'JavaScript': 0.000861216076526256}"
